1,隨機,a,What time is it?,1.2.3
2,隨機,a,I'm going for a walk.,
3,隨機,a,I'm going to get some fresh air.,
4,隨機,a,I'm heading for a park.,
5,隨機,a,I'm going to the store.,
6,隨機,a,I'm going to do some shopping.,
7,隨機,a,I have to buy some things.,
8,隨機,a,What kind of food do you like?,10.11.12
9,隨機,a,What do you want to eat?,13.14.15
10,隨機,a,Shall we get going?,
11,隨機,a,Let's get outta here.,
12,隨機,a,Let's hit the road.,
13,隨機,a,Are you finished?,19.20.21
14,隨機,a,Is it good?,22.23.24
15,隨機,a,Do you cook?,25.26.27
